id,created_at,text
956617939108573184,2018-01-25 20:01:04,.@bitgo to acquire Kingdom Trust -- paving the way for institutional custody of crypto.   https://t.co/YNRPt38VUG
956574742676295680,2018-01-25 17:09:25,congrats @sundeep -- WELL DONE!!! https://t.co/3reJgVC90D
956307950762536961,2018-01-24 23:29:17,RT @JackEtienne: Thank you @ESPN_Esports for inviting me down to your LA office for this interview! https://t.co/14G5c7DbUL
956261292863455232,2018-01-24 20:23:53,RT @SpaceX: First static fire test of Falcon Heavy complete—one step closer to first test flight! https://t.co/EZF4JOT8e4
956230359825477634,2018-01-24 18:20:58,RT @astro: Curious about what's new in Astro 3.0? Read more here: https://t.co/xf2GGu7Tff https://t.co/IfDkXhf4nS
956228925801164800,2018-01-24 18:15:16,i love @astro @apflaum for helping me get to inbox zero.   https://t.co/m1USAE3SCR
955919216758087682,2018-01-23 21:44:36,"RT @TusharJain_: Our IOTA analysis just went out, separating the signal from the noise. 

Join us for our first ever analyst conference cal…"
955798724160008192,2018-01-23 13:45:48,"RT @markgurman: *APPLE: HOMEPOD ARRIVES FEB. 9, AVAILABLE TO ORDER THIS FRIDAY"
955602474236182528,2018-01-23 00:45:58,"RT @phil_hellmuth: Hello #POSITIVITY!!  The book I was meant to write, the book that I believe will inspire millions of people, my “How to…"
955280793303068672,2018-01-22 03:27:44,RT @JackEtienne: We lost the offseason 🤔
955259780511121408,2018-01-22 02:04:14,RT @lolesports: .@Cloud9 pick up the win against @GoldenGuardians and start the 2018 #NALCS Spring Split 2-0! #C9WIN https://t.co/kpEbvZsoPa
955259690874585088,2018-01-22 02:03:52,RT @FionnOnFire: .@Licorice and @AnDa0803 both popped off today. The battle for Rookie of the Spring has begun
955251264815734786,2018-01-22 01:30:23,"RT @htcesports: Swoleskeren and the C9 boys are on the rift! #C9WIN #NALCS 

📺https://t.co/xw0Wl5CaiA https://t.co/LCG0cM0Zef"
955143742184280064,2018-01-21 18:23:08,I need to work on my sushi skills - Hawaiian kampachi.  Didn't quite work out for sushi so I'm going to make fish a… https://t.co/ABmeEavofA
955105231309758465,2018-01-21 15:50:06,RT @BitGo: The first 2MB bitcoin blocks were mined this weekend (see block 505253 https://t.co/0Eeh5Jk05E - 2.217 MB). These record block s…
954920865237356545,2018-01-21 03:37:30,RT @phil_hellmuth: Battle wounds!!  90 minutes of intense outdoor hoops #CaliforniaDreaming #PHOnTheDeck #GoodSweat https://t.co/g5NiqPDPUH
954920811319541761,2018-01-21 03:37:17,RT @Cloud9: #C9LoL defeat @clgaming in their first 2018 #NALCS match! #GGWP https://t.co/V4jRTE4Eqm
954904949040672768,2018-01-21 02:34:15,"RT @Cloud9: #C9LoL is taking on @clgaming in their first match of the 2018 #NALCS Spring Split! #C9WIN
https://t.co/Vf9p6k5qpR https://t.co…"
954518688631148544,2018-01-20 00:59:24,+1 https://t.co/LWHtCAerE7
954407091908763648,2018-01-19 17:35:57,"RT @BillLeeTN: Learn more about Bill's campaign for governor.
Sign up here to receive updates:
https://t.co/rkHndkj7bT"
953661794303660032,2018-01-17 16:14:24,RT @danahull: LUCAS asks Boeing and SpaceX how much skin they have in the game. Hans of SpaceX: All the skin in the future for us is in Cre…
953659145000960001,2018-01-17 16:03:52,Risk = return #happydream
953281399728910336,2018-01-16 15:02:51,#happydream  https://t.co/YWmOdHJNOD
952376737232404482,2018-01-14 03:08:03,"@PopMech if i was a car, i'd rather go to mars."
952301391124496384,2018-01-13 22:08:39,"RT @SpaceX: Dragon is headed to port with ~4,100 pounds of scientific research and hardware for a cargo handover to @NASA. https://t.co/7eb…"
951835632812216320,2018-01-12 15:17:53,RT @_youhadonejob1: Wait for it. https://t.co/bWqFqxgaYA
951324963306315776,2018-01-11 05:28:40,The market is going to rally on this news!!! https://t.co/UaNfPjW0Kj
950863120083243009,2018-01-09 22:53:28,RT @sundeep: We are very excited to bring the Transportation Mobility Cloud to the industry the together with @Ford https://t.co/zqbYIghZJO
950798888549560320,2018-01-09 18:38:14,how many people raised their hands? https://t.co/vfTLPkhSVF
950167677225463808,2018-01-08 00:50:02,watching @spacex launch!  https://t.co/HuJCCXytvk
