id,created_at,text
947549174832050176,2017-12-31 19:25:02,"RT @analyticascent: The most important point I think I've learned from @balajis:

You can't expect people to challenge the status quo in an…"
947210917565022208,2017-12-30 21:00:55,"@jlbtc @TsonicTsunami It's imperfect, and I believe @twobitidiot is putting together a better data set (… https://t.co/OlC5rtWzmv"
947209892225368064,2017-12-30 20:56:51,"Freud was a pseudoscientist, but we can repurpose him.
""The primary friction...stems from the individual's quest fo… https://t.co/B7piq6JfIP"
947206652125519872,2017-12-30 20:43:58,"Cryptocurrencies invert the failure modes observed in public choice theory. For example, concentrated benefits now… https://t.co/Fba9sjsAr9"
947205439371952128,2017-12-30 20:39:09,Everyone dissatisfied with the current system is going to end up aligning behind the blockchain. It's the Schelling… https://t.co/ZbCvQl15hc
946111310218981376,2017-12-27 20:11:28,"@scottharrison @charitywater Sure, DM me"
944277013073772544,2017-12-22 18:42:38,"@TuckerGoodrich https://t.co/YjIMQi8YKk
https://t.co/fDGMTV8x33"
944263114031218688,2017-12-22 17:47:24,@naval @dstriddy @BobBrinker Agreed. The long-deferred fiat crisis will occur when we can run the entire financial… https://t.co/38JzjpEdG8
943556804323057664,2017-12-20 19:00:47,@jonbroscious It could be a threat. Not 100% certain. Depends on relative rate of development of practical quantum… https://t.co/HM5TOVBhAJ
943556139609833473,2017-12-20 18:58:08,"RT @ProductHunt: This podcast brings you inside the world of venture capital, with guests like @balajis, @rrhoover, and @pt 🎙️

https://t.c…"
943371127228850176,2017-12-20 06:42:58,"This was indeed a fantastic early essay on Bitcoin, from May 2011 by @Jason's LAUNCH. Worth re-reading today.… https://t.co/CGkjsjbjS3"
943369068660142080,2017-12-20 06:34:47,"RT @Nivo0o0: Really enjoying responding to these on @earndotcom – this is the future of cold emailing effectively.

Ask me anything: https:…"
941722279716691968,2017-12-15 17:31:02,"@evolvability @Ragnarly @earndotcom Hi David, you should set up your public profile, join lists, and set up email b… https://t.co/oNktIUJWID"
941719113684082688,2017-12-15 17:18:27,RT @Ragnarly: Earning bitcoin on @earndotcom feels like the early days when I got some of my first bitcoins from a faucet. One day I'll rem…
941199083233992705,2017-12-14 06:52:02,"@jdh Gell-Mann amnesia!
https://t.co/E8EwvNoe37 https://t.co/kbiWHZcv2r"
940618962538184705,2017-12-12 16:26:51,"RT @twobitidiot: I answered like five messages on https://t.co/bYLmh8fbib. Now $1,000 worth of bitcoin. Thanks, @balajis!"
940124220045926400,2017-12-11 07:40:55,"RT @ProductHunt: Top Cryptocurrency Products 🏆

✨ A beautiful demonstration of blockchain tech: https://t.co/8eU5dUftlF

💸 Get paid in bitc…"
938620454796869633,2017-12-07 04:05:29,RT @earndotcom: Carl just donated $255 in Bitcoin to @BlackGirlsCode! He earned it by answering emails and completing tasks on https://t.co…
938620441245097987,2017-12-07 04:05:26,RT @carlhaynes: The increase in bitcoin value makes me appreciate https://t.co/gvLk4zAF4f so much more. @earndotcom @BlackGirlsCode https:/…
938620414338539520,2017-12-07 04:05:20,RT @sameepa: Think of @earndotcom as a LinkedIn that pays you in #Bitcoin to answer those that may need your help. Good way to get in on th…
938601792241205248,2017-12-07 02:51:20,"@chrisamccoy Not exactly an airdrop in the sense of redemption for existing private keys, but yes, existing… https://t.co/1dLjSZe2Sy"
938600620402946049,2017-12-07 02:46:40,"Here's another clip with @glennsolomon, @carlquintanilla, and @jonfortt . Discussion was on the Amazon vs Google tr… https://t.co/2uLTisCr8G"
938597450830381056,2017-12-07 02:34:05,"Had fun on CNBC this morning, discussing https://t.co/GwtEZIdQBc, blockchain, and tech more generally. Here's one c… https://t.co/UD7v7MQcce"
938239744974004225,2017-12-06 02:52:41,@bascule https://t.co/Fj0vTZzxE0
938238352293105664,2017-12-06 02:47:09,@ranreichman @fredwilson The key difference is that title is actually being transferred on the blockchain. By contr… https://t.co/Ie1fgwFxVe
938237159781253120,2017-12-06 02:42:25,"@fredwilson By the way, the ERC-721 standard for non-fungible assets is by @dete73 of @AxiomZenTeam, which is the f… https://t.co/VC5cJWHcto"
938236172878229506,2017-12-06 02:38:29,"@fredwilson Just like ERC-20 created the token and ICO boom, the ERC-721 standard for non-fungible assets may unloc… https://t.co/Vpmqoai9gk"
938227401087004674,2017-12-06 02:03:38,Why is https://t.co/HxomrSC75o actually important? It's one of the first examples of what people have been talking… https://t.co/xYsQwrnAN9
937269823037366273,2017-12-03 10:38:34,"RT @nagaraj_hubli: Thanks to @coincenter for the wonderful gift, pocket #bitcoin white paper https://t.co/YACfWuhBcj"
935784980805951488,2017-11-29 08:18:20,"RT @zosegal: My answer to ""How can I get bitcoins?"" https://t.co/bUi2TApcdz - A detailed beginner-friendly comparison of mining vs buying v…"
935784008440360960,2017-11-29 08:14:28,"RT @TonyGallippi: within the near future, blockchain technology and #bitcoin will have created more millionaires than all other IPOs in his…"
935736974199140352,2017-11-29 05:07:34,"@Ericmustin @noUpside @adamnash @harryh Life is indeed a multi-armed bandit problem, but strategies exist :)
https://t.co/Aca2gwvdqs"
935734622712889344,2017-11-29 04:58:13,@harryh @noUpside @adamnash @OneMorePeter Here's a third site which combines exchange-by-exchange breakdown with a… https://t.co/qHDxJ043Lg
935732984191254534,2017-11-29 04:51:43,@Ericmustin @noUpside @adamnash @harryh https://t.co/5PfkE9GuPf
935731802718851072,2017-11-29 04:47:01,@harryh @noUpside @adamnash Interesting. The https://t.co/526cCVGqe2 trading volume estimates differ from Coinmarke… https://t.co/XNoVOASQnB
935729742153703430,2017-11-29 04:38:50,"@noUpside @adamnash @harryh Coinmarketcap doesn't yet have historical graphs for trading volume, but usually they r… https://t.co/18AMCGbjDu"
935715700320092161,2017-11-29 03:43:02,"@adamnash @harryh Ha :) One other interesting aspect of this rise, though -- public blockchains are the world's fir… https://t.co/seWXQq3Tk1"
935707176437391360,2017-11-29 03:09:10,"@__jbram__ @FEhrsam Well, then we're already in crypto 4.0 :) 

There have been at least three major crashes/weedou… https://t.co/xd7Qoltwar"
935705780795326464,2017-11-29 03:03:37,"@adamnash @harryh Here's my math. Let me know if off base, or else if you'd agree this is a highly liquid market.… https://t.co/EjvlbIw1Wo"
935704680834854913,2017-11-29 02:59:15,"@adamnash @harryh Ah, but people are already highly liquid! For example, BTC's trading volume over the last 24 hour… https://t.co/vtCDrh0ntL"
935701667143487488,2017-11-29 02:47:16,"@FEhrsam By contrast, I would put internecine disputes in a different category. Folks who were pro-Bitcoin but anti… https://t.co/XCVhPSmVFs"
935700416372678656,2017-11-29 02:42:18,"@FEhrsam To be clear, in this context at least I'm referring to those who took a negative attitude towards *all* th… https://t.co/khslxRvbXt"
935698483633315840,2017-11-29 02:34:37,@FEhrsam https://t.co/8Ya7ExfaCg https://t.co/6PXgPQpjdW
935642662857728000,2017-11-28 22:52:48,"@BambouClub Yes, that's what I was thinking of -- with the important caveat that it's hard to know which of those a… https://t.co/qAggUXrah0"
935640593551695873,2017-11-28 22:44:35,"There are likely at least 10,000 blockchain millionaires (""only"" $10B of the $300B market cap). These are people wh… https://t.co/Bz5DP9QYhB"
935639384090591232,2017-11-28 22:39:47,"The rise of the blockchain in 2017 has likely created at least 10,000 millionaires. By this measure it is probably… https://t.co/hjpQc6Vh9H"
935637689293971457,2017-11-28 22:33:03,Price is a signal. And it now quantifies the strength of an ideological movement.
935637356459069441,2017-11-28 22:31:43,"Bitcoin, pronounced dead more than one hundred times, now $10,000 per coin.
Ethereum now closing in on $500.
And cr… https://t.co/BwtL3xLxOJ"
935627123238170624,2017-11-28 21:51:03,"RT @jonst0kes: Basically, as of the past few weeks, ""BTC =&gt; $0USD"" is no longer a ""serious"" position. It just not something to say anymore,…"
