day,epu_idx,price,volume,bidask,tpm,trans,exp_sem
8/19/2013,136.62,1.8599604,-4748882.348,-0.010244755,-1.410590277,-8086,0.2873
8/20/2013,111.56,3.7060357,3239262.423,0.025571139,1.340451388,-2697,-0.25
8/21/2013,96.17,2.8221028,-4099315.496,-0.046481568,-1.1234375,6281,0
8/22/2013,89.29,-2.7763917,364277.274,0.007310962,-0.083333333,-11617,0
8/23/2013,45.99,0.0464946,-2210304.74,0.013125199,-0.892013889,-3378,0.4215
8/24/2013,106.31,2.3173602,917177.362,-0.042235314,0.220138889,-7370,0
8/25/2013,124.21,0.8815903,365214.836,-0.002615618,0.491666667,11646,0
8/26/2013,124.03,4.6849434,7567133.793,-0.028862987,2.358680555,6094,0
8/27/2013,86.16,1.9904758,-7342400.147,-0.009202033,-1.914756944,2560,0.54115
8/28/2013,64.04,0.1547635,-794120.561,-0.012766003,-0.946527778,-5755,0
8/29/2013,87.64,2.4753271,7463961.228,0.039213002,2.287847222,3611,0.765
8/30/2013,91.16,6.8418762,-893921.02,0.050947408,0.366319445,-15098,0.8519
8/31/2013,101.91,2.5999981,-5601769.965,0.057897014,-2.095486111,-907,0.230266667
9/1/2013,100.75,-0.0428628,-18929.595,-0.105108281,-0.001215278,4668,0.5106
9/2/2013,137.6,-0.6264821,944717.451,0.043149237,0.155208333,897,0
9/3/2013,168.05,-2.3102204,3763515.08,0.046423628,2.221701389,816,0.143433333
9/4/2013,133.57,-6.3210141,-1132468.887,0.074700335,0.947916667,7751,-0.1591
9/5/2013,121.68,-0.1716829,-1331464.387,-0.077180105,-1.058506945,120,0.361
9/6/2013,174.48,-2.5842363,-2326571.385,0.064948458,-1.592013889,-8883,0
9/7/2013,179.74,0.2111596,-1465716.745,0.024687789,-0.705555555,-5515,0.636
9/8/2013,95.48,0.5748106,5695929.395,0.01579411,3.3203125,11224,0
9/9/2013,59.96,3.3213993,-4669715.767,-0.111773005,-1.891840278,-4393,0.338666667
9/10/2013,53,1.7134573,5274039.218,-0.030436681,0.894618056,-4073,0.0092
9/11/2013,96.02,3.472496,-3228270.952,0.042343909,-1.31875,3090,-0.11448
9/12/2013,59.84,0.5036844,-550837.704,-0.043345025,0.048263889,-7466,-0.02262
9/13/2013,39.94,-1.1475567,-1513721.6,0.035777324,-0.719444445,-1274,0.037911111
9/14/2013,91.28,-1.4945742,-988196.122,0.043778569,-0.248090278,10112,0
9/15/2013,83.42,1.159713,900337.43,-0.108576505,0.371006945,-1787,-0.1776
9/16/2013,149.94,0.6665,-148829.498,-0.06184302,-0.409895834,16046,-0.06095
9/17/2013,127.79,0.652084,911776.542,0.017339528,0.087673612,-7380,-0.0555
9/18/2013,84.39,-1.4891131,1268903.025,0.005302595,1.683506944,-736,0.185916667
9/19/2013,87.37,-2.1786448,-1313708.606,0.083513442,0.249652778,-821,0.2555
9/20/2013,160.51,-0.7608314,-2262343.61,-0.0681577,-2.503298611,-6496,-0.044088889
9/21/2013,230.7,-0.1892459,-77847.877,-0.014121639,-0.165104167,-1595,0.1743
9/22/2013,115.33,0.9788134,788528.024,0.004139992,0.725694444,14425,-0.36525
9/23/2013,105.52,-0.579792,874442.249,-0.00547397,-0.256076388,-2736,0.2544
9/24/2013,127.69,1.5447027,-247477.455,0.001528853,0.288541666,-8044,0.105042857
9/25/2013,134.2,-0.1298385,-672246.39,0.002733633,-0.433506944,2997,0.181142857
9/26/2013,83.62,1.3190611,3799800.981,0.008628906,1.759375,-10625,-0.14278
9/27/2013,91.83,0.1797037,-2766786.887,0.094540021,-1.729166667,-4340,0.313875
9/28/2013,124,1.2476108,1008764.888,-0.124178185,-0.314236111,-1399,0.133966667
9/29/2013,127.01,-1.3223221,-38905.865,0.002604209,0.791840278,5975,-0.3612
9/30/2013,156.8,0.4970535,-1325822.6,0.031911255,0.202083333,10015,0.0618
10/1/2013,271.77,-5.0321448,24169340.03,0.13359962,7.119618059,4793,0.277966667
10/2/2013,205.03,-8.4881219,-17419899.3,0.017417328,-5.041840281,-2413,0.05098
10/3/2013,142.62,8.2885651,-4222322.955,-0.153916987,-1.686979167,-7611,-0.081642857
10/4/2013,187.28,1.3372166,-3995691.9,0.066284484,-2.0015625,-6461,0.046816667
10/5/2013,170.83,-0.2934255,-92986.942,-0.0383883,0.053298611,-2622,0.03958
10/6/2013,173.15,1.261993,2081056.142,2.196299397,1.681597223,1690,0.117177778
10/7/2013,135.95,0.5879407,207936.32,0.02568187,2.047222222,584,0.2288
10/8/2013,198.47,1.5234408,2643989.833,-0.503235819,1.396180555,5542,-0.062094737
10/9/2013,164.69,1.1197598,-2207174.3,-0.071375089,-0.312326389,6180,0.2602
10/10/2013,208.16,-0.3955755,-1436837.523,-0.011186064,-3.669791666,-4931,0.1756
10/11/2013,197.5,1.0122904,198436.952,0.023025781,-0.536805556,-2448,0.122448
10/12/2013,173.8,1.7705659,2560501.282,-0.059280671,2.1578125,1830,0
10/13/2013,255.14,5.5993035,4915611.337,0.291799207,6.282291668,6148,0.142784615
10/14/2013,317.57,2.4045108,-2583537.644,0.058743627,-4.033680557,-1626,-0.0229
10/15/2013,311.33,5.7793586,6692594.734,0.069385146,5.931249997,-5000,0.019488889
10/16/2013,302.38,-1.4286981,-7514404.888,-0.042178563,-1.38350694,-3956,-0.073890909
10/17/2013,323.65,5.6916803,4603811.748,-0.003017493,3.30260417,12791,-0.2277
10/18/2013,199.23,13.4251298,10451425.23,0.08270951,-1.97222223,-4350,-0.2879
10/19/2013,151.96,3.7014212,-17692141.04,0.050163101,-8.278124997,-5893,0.561533333
10/20/2013,152.96,7.9957631,10156831.41,-0.129828211,5.636631945,11033,-0.128
10/21/2013,10.92,12.4749588,6245332.67,-0.019148743,1.487673612,4597,0.038136364
10/22/2013,101.82,9.3889713,-1755445.4,0.028358472,0.80347222,-9734,-0.025841176
10/23/2013,172.74,-3.1969225,22622072.82,0.176607688,7.6359375,8320,0.16235
10/24/2013,85.92,-13.2726258,-25801475.64,0.02430461,-2.19392361,-6163,-0.077225
10/25/2013,125.94,1.1180097,-7970350.745,-0.144001437,-1.50243056,-9724,0.0214
10/26/2013,75.55,3.6363128,-395365.432,0.011375996,-6.226562496,-4056,0.151144444
10/27/2013,145.56,9.0803611,-451245.022,-0.077750809,-3.267013888,7413,0
10/28/2013,87.68,4.3666871,1002587.645,0.018267136,-1.565277778,-1174,0.24504
10/29/2013,168.7,2.7427844,4785049.184,-0.069472741,2.927951389,-1484,0.19616
10/30/2013,178.66,-0.7601038,-6759860.729,0.025812227,-4.158680556,9735,-0.070157143
10/31/2013,67.75,1.9945746,-2661768.619,0.923412512,-1.232465278,-12810,0.137089474
11/1/2013,45.43,1.6052533,528883.25,0.611978251,0.724305556,-6190,0.03927
11/2/2013,118.26,2.4620388,4017708.139,0.039687888,2.669270833,-3234,0.19515
11/3/2013,146.81,11.6150383,7438734.989,0.271023157,1.935243056,9576,-0.26335
11/4/2013,146.15,17.6185608,15604924.56,-0.142903392,4.890798612,6074,0.1572
11/5/2013,63.38,17.9348927,259311.38,-0.752442727,-0.89357639,3411,-0.014716
11/6/2013,57.22,26.9739023,24351349.37,0.038600385,4.78958333,5527,-0.03758
11/7/2013,46.97,30.7508777,-15477626.81,0.302903166,-5.24357639,-1312,0.07164
11/8/2013,84.94,34.5899302,10818295.79,0.097616465,4.13125,-4019,0.12095625
11/9/2013,116.91,-42.0122563,13548140.54,0.045331223,4.79496528,2334,0.268733333
11/10/2013,77.95,24.7928518,-40257964.95,-0.083336675,-10.53420139,-133,0
11/11/2013,179.62,19.958572,800652.19,-0.182173423,-0.763020833,902,0.330775
11/12/2013,7.71,28.6691656,16430067.7,0.017570786,3.52482639,6563,0.20356
11/13/2013,55.9,32.7886001,-2348519.2,0.176108943,0.86006944,4543,0.1718
11/14/2013,48.95,7.3892584,1013814.13,-0.673304414,-2.31493055,-8499,0.268666667
11/15/2013,68.24,11.7949809,-14772474.3,0.695073568,-0.10798611,-13739,0.02224
11/16/2013,85.4,35.5714421,11417844.4,-0.096999862,0.121875,4148,-0.36845
11/17/2013,86.17,95.7366212,63114842.76,0.621720639,7.42725694,27709,0.362316667
11/18/2013,98.11,84.8814449,57660538.41,0.850569784,8.95694445,13875,-0.016209091
11/19/2013,83.02,-115.2403829,-31923498.6,-0.711765338,4.11024305,-15349,0.1771375
11/20/2013,94.99,114.1162428,-47668811.78,-0.58294165,-11.46892361,-5736,0.04465
11/21/2013,92.72,83.3125835,-10852204.34,-0.127753465,2.67118056,5125,0.1956
11/22/2013,67.16,86.6309557,-5901214.18,-0.066895712,-4.86631945,-4402,0
11/23/2013,26.78,-35.3837063,490540.58,-0.1379011,-2.9984375,-11684,0.156225
11/24/2013,94.28,12.2185429,-2686471.41,-0.016656771,1.55364583,10932,0.128
11/25/2013,138.46,45.1911701,22674623.96,0.025762887,10.65399306,11590,0.123175
11/26/2013,36.52,95.9223192,16928266.51,0.121013521,-7.15173611,12148,0.099675
11/27/2013,41.47,71.6991164,26150541.86,-0.043033789,5.60416667,3390,-0.140583333
11/28/2013,116.17,52.607689,-20021926.1,0.199553859,-1.50381945,-8837,0.540075
11/29/2013,95.19,63.611387,-52220830.71,-0.106407515,-10.66840278,-14894,0.304271429
11/30/2013,93.59,-121.8617646,165605976.7,0.023508381,19.96788195,-3048,0.5053
12/1/2013,119.23,-12.9817208,-111831106.6,0.256556764,-11.70069445,3428,0.174754545
12/2/2013,115.32,59.1743694,-51915485.83,-0.134938716,-9.0765625,2097,0.253442857
12/3/2013,103.28,34.4205,1306659.11,-0.441137542,-0.73003472,1957,0.0585875
12/4/2013,98.29,-44.981992,131670603.2,0.363903847,23.61996528,3659,0.190733333
12/5/2013,71.41,-83.6594682,5801731.6,-0.072211489,-4.978125,-11184,0.08870625
12/6/2013,59.69,-210.4073774,34887710.5,0.275776332,10.07065972,-4387,0.007077778
12/7/2013,77.94,-3.7563312,-154846824.4,-0.130125644,-23.81423611,-20235,0.23394
12/8/2013,72.95,132.5876125,18355113.97,-0.165314396,3.05677083,16148,0
12/9/2013,67.72,72.6302345,-19970572.81,-0.307409315,-4.13819444,3998,-0.193683333
12/10/2013,98.47,-25.5291794,9367736.27,0.128256689,-0.25642361,-318,0.19825
12/11/2013,101.72,-45.1865371,-43216795.95,-0.135412826,-5.60434028,-9086,0.293225
